|S2392 |Dumplings           | Short|    20/03/2022     |    24/03/2022     |   50   |  20.000|
|S7923 |Sandwich            | Short|    17/09/2023     |    23/09/2023     |   3    |  15.000|
|S1251 |Bread               | Short|    20/09/2023     |    27/09/2023     |   99   |  10.000|
|L2124 |Soft drinks         | Long |    02/01/2022     |    30/09/2022     |   1    |  13.000|
|L3107 |Pepsi               | Long |    01/06/2022     |    18/03/2023     |   0    |  10.000|
|S4296 |Sticky rice         | Short|    22/03/2022     |    27/03/2022     |   40   |  15.000|
|L2392 |Cookies             | Long |    01/01/2023     |    28/10/2023     |   2    |  20.000|
|L2392 |Candy               | Long |    08/01/2023     |    31/12/2023     |   45   |   2.000|
|S2392 |Prepared meat       | Short|    22/09/2023     |    27/09/2023     |   80   |  50.000|
|L4921 |CoCa Cola           | Long |    20/08/2023     |    18/05/2024     |   0    |  10.000|
|L2222 |Poca                | Long |    16/07/2023     |    28/02/2024     |   2    |  10.000|
|L1111 |Chocolate           | Long |    30/07/2023     |    27/07/2025     |   99   |  90.000|
